source_type,group_id,rows,fold,risk_score_mean,sample_model,sample_installer,sample_ua
cloud_device,cloud_device::ed449d36f2,5,3,40.4,LE2120,com.android.packageinstaller,"Mozilla/5.0 (Linux; Android 13; LE2120 Build/TP1A.220905.001; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/103.0.5060.129 Mobile Safari/537.36"
cloud_device,cloud_device::077a2a81dd,4,3,44.25,V2111,manual,"Mozilla/5.0 (Linux; Android 11; V2111 Build/RP1A.200720.012; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/142.0.7444.171 Mobile Safari/537.36"
cloud_device,cloud_device::110025cf11,4,3,38.0,SM-S906B,manual,"Mozilla/5.0 (Linux; Android 12; SM-S906B Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/142.0.7444.171 Mobile Safari/537.36"
cloud_device,cloud_device::f6bb2a9498,4,3,45.0,Pixel 8,manual,"Mozilla/5.0 (Linux; Android 14; Pixel 8 Build/AP1A.240305.019.A1; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/142.0.7444.171 Mobile Safari/537.36"
cloud_device,cloud_device::17dfca5bb1,3,3,44.0,2201117TI,manual,"Mozilla/5.0 (Linux; Android 11; 2201117TI Build/RKQ1.211001.001; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/142.0.7444.171 Mobile Safari/537.36"
cloud_device,cloud_device::397e42fe24,3,2,41.666666666666664,SM-S908B,manual,"Mozilla/5.0 (Linux; Android 12; SM-S908B Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/114.0.5735.130 Mobile Safari/537.36"
cloud_device,cloud_device::4cd9ab4307,3,2,15.0,PEEM00,com.cjtec.uncompress,"Mozilla/5.0 (Linux; Android 13; PEEM00 Build/TP1A.220905.001; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/111.0.5563.116 Mobile Safari/537.36"
cloud_device,cloud_device::4f0ebbb41b,3,3,25.666666666666668,2211133C,com.miui.packageinstaller,"Mozilla/5.0 (Linux; Android 16; 2211133C Build/BP2A.250605.031.A3; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/145.0.7632.159 Mobile Safari/537.36"
cloud_device,cloud_device::bf22e378d0,3,2,39.333333333333336,SM-S901B,manual,"Mozilla/5.0 (Linux; Android 12; SM-S901B Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/142.0.7444.171 Mobile Safari/537.36"
cloud_device,cloud_device::efde9a073d,3,3,42.0,CPH2251,manual,"Mozilla/5.0 (Linux; Android 11; CPH2251 Build/RP1A.200720.011; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/142.0.7444.171 Mobile Safari/537.36"
cloud_device,cloud_device::fa6bbf1b46,3,1,45.0,V2050,manual,"Mozilla/5.0 (Linux; Android 11; V2050 Build/RP1A.200720.012; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/142.0.7444.171 Mobile Safari/537.36"
